"insurance","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","length","width","height","num.of.cylinders","engine.size","horsepower","peak.rpm","city.mpg","highway.mpg","price"
"risky","gas","std","two","convertible","rwd","front",168.8,64.1,48.8,"four",130,111,5000,21,27,13495
"risky","gas","std","two","convertible","rwd","front",168.8,64.1,48.8,"four",130,111,5000,21,27,16500
"risky","gas","std","two","hatchback","rwd","front",171.2,65.5,52.4,"six",152,154,5000,19,26,16500
"risky","gas","std","four","sedan","fwd","front",176.6,66.2,54.3,"four",109,102,5500,24,30,13950
"risky","gas","std","four","sedan","4wd","front",176.6,66.4,54.3,"five",136,115,5500,18,22,17450
"risky","gas","std","two","sedan","fwd","front",177.3,66.3,53.1,"five",136,110,5500,19,25,15250
"risky","gas","std","four","sedan","fwd","front",192.7,71.4,55.7,"five",136,110,5500,19,25,17710
"risky","gas","std","four","wagon","fwd","front",192.7,71.4,55.7,"five",136,110,5500,19,25,18920
"risky","gas","turbo","four","sedan","fwd","front",192.7,71.4,55.9,"five",131,140,5500,17,20,23875
"risky","gas","std","two","sedan","rwd","front",176.8,64.8,54.3,"four",108,101,5800,23,29,16430
"safe","gas","std","four","sedan","rwd","front",176.8,64.8,54.3,"four",108,101,5800,23,29,16925
"safe","gas","std","two","sedan","rwd","front",176.8,64.8,54.3,"six",164,121,4250,21,28,20970
"safe","gas","std","four","sedan","rwd","front",176.8,64.8,54.3,"six",164,121,4250,21,28,21105
"risky","gas","std","four","sedan","rwd","front",189,66.9,55.7,"six",164,121,4250,20,25,24565
"safe","gas","std","four","sedan","rwd","front",189,66.9,55.7,"six",209,182,5400,16,22,30760
"safe","gas","std","two","sedan","rwd","front",193.8,67.9,53.7,"six",209,182,5400,16,22,41315
"safe","gas","std","four","sedan","rwd","front",197,70.9,56.3,"six",209,182,5400,15,20,36880
"risky","gas","std","two","hatchback","fwd","front",141.1,60.3,53.2,"three",61,48,5100,47,53,5151
"risky","gas","std","two","hatchback","fwd","front",155.9,63.6,52,"four",90,70,5400,38,43,6295
"safe","gas","std","four","sedan","fwd","front",158.8,63.6,52,"four",90,70,5400,38,43,6575
"risky","gas","std","two","hatchback","fwd","front",157.3,63.8,50.8,"four",90,68,5500,37,41,5572
