"age","workclass","education","marital_status","occupation","relationship","race","sex","capital_gain","capital_loss","hours_per_week","native_country","income"
39,"State_gov","Bachelors","Never_married","Adm_clerical","Not_in_family","White","Male",2174,0,40,"United_States","Small"
50,"Self_emp_not_inc","Bachelors","Married_civ_spouse","Exec_managerial","Husband","White","Male",0,0,13,"United_States","Small"
38,"Private","HS_grad","Divorced","Handlers_cleaners","Not_in_family","White","Male",0,0,40,"United_States","Small"
53,"Private","11th","Married_civ_spouse","Handlers_cleaners","Husband","Black","Male",0,0,40,"United_States","Small"
28,"Private","Bachelors","Married_civ_spouse","Prof_specialty","Wife","Black","Female",0,0,40,"Cuba","Small"
37,"Private","Masters","Married_civ_spouse","Exec_managerial","Wife","White","Female",0,0,40,"United_States","Small"
49,"Private","9th","Married_spouse_absent","Other_service","Not_in_family","Black","Female",0,0,16,"Jamaica","Small"
52,"Self_emp_not_inc","HS_grad","Married_civ_spouse","Exec_managerial","Husband","White","Male",0,0,45,"United_States","Large"
31,"Private","Masters","Never_married","Prof_specialty","Not_in_family","White","Female",14084,0,50,"United_States","Large"
42,"Private","Bachelors","Married_civ_spouse","Exec_managerial","Husband","White","Male",5178,0,40,"United_States","Large"
37,"Private","Some_college","Married_civ_spouse","Exec_managerial","Husband","Black","Male",0,0,80,"United_States","Large"
30,"State_gov","Bachelors","Married_civ_spouse","Prof_specialty","Husband","Asian_Pac_Islander","Male",0,0,40,"India","Large"
23,"Private","Bachelors","Never_married","Adm_clerical","Own_child","White","Female",0,0,30,"United_States","Small"
32,"Private","Assoc_acdm","Never_married","Sales","Not_in_family","Black","Male",0,0,50,"United_States","Small"
34,"Private","7th_8th","Married_civ_spouse","Transport_moving","Husband","Amer_Indian_Eskimo","Male",0,0,45,"Mexico","Small"
25,"Self_emp_not_inc","HS_grad","Never_married","Farming_fishing","Own_child","White","Male",0,0,35,"United_States","Small"
32,"Private","HS_grad","Never_married","Machine_op_inspct","Unmarried","White","Male",0,0,40,"United_States","Small"
38,"Private","11th","Married_civ_spouse","Sales","Husband","White","Male",0,0,50,"United_States","Small"
43,"Self_emp_not_inc","Masters","Divorced","Exec_managerial","Unmarried","White","Female",0,0,45,"United_States","Large"
40,"Private","Doctorate","Married_civ_spouse","Prof_specialty","Husband","White","Male",0,0,60,"United_States","Large"
54,"Private","HS_grad","Separated","Other_service","Unmarried","Black","Female",0,0,20,"United_States","Small"
35,"Federal_gov","9th","Married_civ_spouse","Farming_fishing","Husband","Black","Male",0,0,40,"United_States","Small"
43,"Private","11th","Married_civ_spouse","Transport_moving","Husband","White","Male",0,2042,40,"United_States","Small"
59,"Private","HS_grad","Divorced","Tech_support","Unmarried","White","Female",0,0,40,"United_States","Small"
56,"Local_gov","Bachelors","Married_civ_spouse","Tech_support","Husband","White","Male",0,0,40,"United_States","Large"
19,"Private","HS_grad","Never_married","Craft_repair","Own_child","White","Male",0,0,40,"United_States","Small"
39,"Private","HS_grad","Divorced","Exec_managerial","Not_in_family","White","Male",0,0,80,"United_States","Small"
49,"Private","HS_grad","Married_civ_spouse","Craft_repair","Husband","White","Male",0,0,40,"United_States","Small"
23,"Local_gov","Assoc_acdm","Never_married","Protective_serv","Not_in_family","White","Male",0,0,52,"United_States","Small"
20,"Private","Some_college","Never_married","Sales","Own_child","Black","Male",0,0,44,"United_States","Small"
45,"Private","Bachelors","Divorced","Exec_managerial","Own_child","White","Male",0,1408,40,"United_States","Small"
30,"Federal_gov","Some_college","Married_civ_spouse","Adm_clerical","Own_child","White","Male",0,0,40,"United_States","Small"
22,"State_gov","Some_college","Married_civ_spouse","Other_service","Husband","Black","Male",0,0,15,"United_States","Small"
48,"Private","11th","Never_married","Machine_op_inspct","Unmarried","White","Male",0,0,40,"Puerto_Rico","Small"
21,"Private","Some_college","Never_married","Machine_op_inspct","Own_child","White","Male",0,0,40,"United_States","Small"
19,"Private","HS_grad","Married_AF_spouse","Adm_clerical","Wife","White","Female",0,0,25,"United_States","Small"
48,"Self_emp_not_inc","Assoc_acdm","Married_civ_spouse","Prof_specialty","Husband","White","Male",0,0,40,"United_States","Small"
31,"Private","9th","Married_civ_spouse","Machine_op_inspct","Husband","White","Male",0,0,43,"United_States","Small"
53,"Self_emp_not_inc","Bachelors","Married_civ_spouse","Prof_specialty","Husband","White","Male",0,0,40,"United_States","Small"
24,"Private","Bachelors","Married_civ_spouse","Tech_support","Husband","White","Male",0,0,50,"United_States","Small"
49,"Private","HS_grad","Separated","Adm_clerical","Unmarried","White","Female",0,0,40,"United_States","Small"
25,"Private","HS_grad","Never_married","Handlers_cleaners","Not_in_family","White","Male",0,0,35,"United_States","Small"
57,"Federal_gov","Bachelors","Married_civ_spouse","Prof_specialty","Husband","Black","Male",0,0,40,"United_States","Large"
53,"Private","HS_grad","Married_civ_spouse","Machine_op_inspct","Husband","White","Male",0,0,38,"United_States","Small"
44,"Private","Masters","Divorced","Exec_managerial","Unmarried","White","Female",0,0,40,"United_States","Small"
41,"State_gov","Assoc_voc","Married_civ_spouse","Craft_repair","Husband","White","Male",0,0,40,"United_States","Small"
29,"Private","Assoc_voc","Never_married","Prof_specialty","Not_in_family","White","Male",0,0,43,"United_States","Small"
25,"Private","Some_college","Married_civ_spouse","Exec_managerial","Wife","Other","Female",0,0,40,"United_States","Small"
47,"Private","Prof_school","Married_civ_spouse","Prof_specialty","Wife","White","Female",0,1902,60,"Honduras","Large"
50,"Federal_gov","Bachelors","Divorced","Exec_managerial","Not_in_family","White","Male",0,0,55,"United_States","Large"
47,"Self_emp_inc","HS_grad","Divorced","Exec_managerial","Not_in_family","White","Male",0,0,60,"United_States","Small"
43,"Private","Some_college","Married_civ_spouse","Tech_support","Husband","White","Male",0,0,40,"United_States","Large"
46,"Private","5th_6th","Married_civ_spouse","Machine_op_inspct","Husband","White","Male",0,0,40,"Mexico","Small"
35,"Private","Assoc_voc","Married_civ_spouse","Other_service","Husband","White","Male",0,0,40,"Puerto_Rico","Small"
41,"Private","HS_grad","Married_civ_spouse","Adm_clerical","Husband","White","Male",0,0,48,"United_States","Small"
30,"Private","HS_grad","Married_civ_spouse","Machine_op_inspct","Husband","White","Male",5013,0,40,"United_States","Small"
30,"Private","Bachelors","Married_civ_spouse","Sales","Husband","White","Male",2407,0,40,"United_States","Small"
48,"Private","HS_grad","Married_civ_spouse","Transport_moving","Husband","White","Male",0,0,40,"United_States","Small"
42,"Private","Doctorate","Married_civ_spouse","Prof_specialty","Husband","White","Male",0,0,45,"United_States","Large"
29,"Private","Some_college","Divorced","Tech_support","Not_in_family","White","Male",0,0,58,"United_States","Small"
36,"Private","HS_grad","Married_civ_spouse","Craft_repair","Husband","White","Male",0,0,40,"United_States","Small"
28,"Private","Some_college","Divorced","Adm_clerical","Not_in_family","White","Female",0,0,40,"United_States","Small"
53,"Private","HS_grad","Married_civ_spouse","Adm_clerical","Wife","White","Female",0,0,40,"United_States","Large"
49,"Self_emp_inc","Some_college","Married_civ_spouse","Exec_managerial","Husband","White","Male",0,0,50,"United_States","Large"
